Area_Name
Maloot
Dab Sandoha
Malki
Mangloora
Bharing (A.K)
Khaliq Nagar
Ahla
Gherara
Kangra
Watala
Patni
Sokasan
Kadhala
Saryala Chappar
Barnala
Thub
Mora Sadha
Barsali
Bhimber
Randian
Jandi Chountra
Dhal Khumba
Daoora
Baghsar
Sammani
Dana
Darhal Gaggan
Bindi
Bangla Sadabad
Khanda
Mirpur City P.O
Chitter Pari (Ak)
Chowki
Mangla Dam
Haripur
Potha Bungish
Mirpur Agency Npo
Khurmanabad
Chandrali
Kharak
Kandore
Khaliqabad
Samlotha
Siakh
Khadimabad (A.K.)
Afzal Pur
Batli
Bheli
Janglian Kotla
Chechian (Ak)
Poona
Sanwal Sharif
Chhattroh
Jatli (Ak)
Sohang
Banni
Ali Beg
Kalri
Baroh
Sukh Chainpur
Mirpur Gpo
Dhamawa
Barjah
Panjeri
Fakrot
Jhailla
Rahian
Gora Nakka
Gurha Kunjal
Sanyah
Kalyal Bainsi
Jatti Dheri
Mawa
Akal Garh
Kanel
Sehar
Boha Dhangri (Ak)
Panwam
Potha Bainsi
Asif Abad
Perahi
Chak Sawari
Khan Abad
Rajdhani
Dadyal Khurd
Palak (A.K.)
Pind Kalan
Chhanni Kuntal
Toneen
Thathi
Khadora Kalan
Balloh
Chowk Sahiban
Haveli Begal
Doliah Jattan
Onah
Raipur
Jarahi
Thub
Sandai
Sanwala Piran
Ghaneer
Holar
Baran Bhatta
Sanot
Chhochh
Hajiabad
K.D. Khan
Thara
Barigurha
New Afzalpur
Baroian
Ratta
Darruni Bathroi
Sorakhi
Potha
Sochani
Sehnsa
Kaljoor
Tarala
Durlian Gujran
Kritot
Ainti
Pateri
Gulpur (Ak)
Kajlani
Nar
Khawas
Pilat Pian
Samror
Seher Mandi
Doongh
Sarhota
Roli
Danna
Kotli (A.K.)
Aghar
Qamrooti
Kurti
Chowki Tinda
Sarsawa
Sawar
Chhani
Tatta Pani
Siah Sharif
Gunni Malni
Goi
Anhoi Sarhota
Odeh Sharif
Panjera
Datoot
Narali
Fatehpur Thakiala
Dhanwan
Karela Majhan
Chowki Mong
Bihal
Khui Ratta (A.K.)
Jandrot
Andarla Kothera
Dabsi
Bal Brahmana
Ghian Gujran
Manjwal Sharif
Bharot Gala
Dhanna
Dargoti
Khor Rachhala
Ghaura
Seri
Khankah Kothera
Kala Dab
Juna
Azad Pattan A.K.
Charhoi
Jhenjal Hill
Bong Colony
Sehr Hajnal Kot
Namb
Palandri
Mandhether
Barohi
Phalian
Sawa
Betran
Gohr Bazar
Kuliah Bazar
Biliannar
Dhar Dharachb
Barian
Jhanda Cagla
Manoota
Mungriot
Panthal
Sehr Bosata
Tarar Khel
Nalian
Sehr Hafizabad
Dhar Dharachn
Habib Abad
Pakhonar
Qillan
Tangi Gala
Jandali
Baluch
Baithak Bazar
Chamba Gali
Garala
Barriot
Hajeera
Hamruta
Natha Gala
Narrian
Anhari
Rahimabad
Char Biar
Darbar Sharif Narian
Gala Kaniyata
Gran Dhamikan
Kot Gala Kawali
Akramabad
Rakkar
Maindla
Bessari
Aakhorban
Kathira
Narian
Tanda
Tatrinote
Darikot
Ghambir
Sarrari
Thandi Kassi
Devi Gali
Thai
Darra Sher Khan
Karichroon
Kakuta
Mandhole
Sehra
Palangi
Abbas Pur
Chirikot
Aliabad
Gogdar
Mandher
Suli
Kalali
Kahoota(A.K)
Behdi
Tangeraam
Tangari
Degwar Terwan
Khurshid Abad
Bassian
Kangran
Dothan
Khaigala
Kohkot
Ban Baikh Bazar
Androte
Alisojal
Chotta Gala
Muslinabad
Jewar
Nur
Gali Bazar Jandali
Mong
Pattan Sher Khan
Bossa Gala
Banjoosa
Islampura
Rehera
Thorar
Bhalgran Surdari
Lunjgran
Rawalakot Gpo
Chappri Bazar
Tian
Dhamni
Mohri Farman Shah
Tarar
Hussain Kot
Singola
Kharik
Drake
Chitra Topi
Paniola
Jandala
Thalla
Jandathi Bazar
Sanghar Bazar
Khud Bazar
Musta Nara
Hurnamaira
Bengion
Chak Dhamni
Upper Sudhan
Pachiot
Bana Kha
Chattar No.1
Bagh Gpo
Datoot
Salian Maldayalan
Paddar Gulsher Khan
Arja Apo
Dhondhar
Harighel
Sudhan Gali
Sambalri Gala
Behari
Kharl Panayali
Banni Minhasan
Kotala
Chattar No.2
Meiman Pura
Naryola
Barikot
Birpani
Kharal Abbasian
Dhulli
Jaglari
Thub
Sangir Bathara
Mallote
Bees Bagla
Reera Bazar
Raikot
Dhirkot
Kanyati
Hans Chowki
Makhyala
Paddor Master Khan
Jhala Bazar
Jolie Cheer
Ghani Abad
Chamyati
Rangla Apo
Sohawa Sharif
Kohala
Seri Bandi
Chamankot
Donga Kahutter
Isakhumari
Chirala
Dana Kachilli
Ambore
Sikandar Abad
Muzaffarabad Gpo
Kundi
Rajpothi
Bhan
Cherh
Kottarala
Masina Kalan
Langarpura
Rara
Pattan Khurd
Saran
Majhorte
Nambal
Tarrachh Bazar
Dhanni Bore
Khunbandi
Soi Bazar
Garahi Dupatta
Jessoa Bazar
Chirkpura
Pattan Kalan
Pakgali
Shujahabad
Mong Bajri
Salolbandi
Nagri Mujahidabad
Qulian Bazar
Majoohan
Phulair Bazar
Koomi Kot
Kakarwara
Leepa
Jhand Gran
Azizabad
Chikar
Dachore Miran
Noon Bagla
Sulmia
Pajja Sharif
Mushtamba
Rahim Kot
Reshian
Lamnia
Chenari
Hattian Bala
Jandali Janoobi
Phagwan Dopatta
Mera Khurd
Chattian
Maira Saru
Sharian
Saidpur
Pattika
Gujarbandi
Rajpain
Chokothi
Devlian
Kahuri
Battal
Saryan
Bat Dara
Kunkian
Behari
Athmaqam
Dudnial
Bhalgran
Kel
Machira
Jura Bazar
Dosute
Kutton
Kundal Shah
Samagial
Chilas (Lsg)
Sharda
Gunner Form
Sargan
Thore
Lawat
Dawarian
Phulwaih
Neelam
Bunji
Harcho
Lower Doyan
Astore
Gudai
Dashkin
Jaglot Tangir
Tharisling
Minimarg
Rampur
Gultari (Seasonal)
Mir Malik
Rattu
Pakora
Nomal
Jutal
Gilgit Gpo
Chilam
Bubar
Darela Bala
Gurikot
Ghulapur
Peena
Singal
Jagir Basin
Rahimabad
Minawar
Khangrol
Karnah
Gumari
Shyrote
Jaglote Sai
Jutial
Sher Qilla
Sassi
Ashkomen
Khalti
Immit
Naltar
Chhashi
Sumal
Phander
Gupis
Yasin
Qurqulti
Pingal
Chatore Khand
Gulddas
Gahkooch
Harf
Burkulti
Sindhi
Sumayar
Mina Pin
Thole
Sikandarabad
Aliabad
Askurdos
Nasirabad
Teru
Hussainabad
Hoper
Ghulmit
Mayun
Nagar
Phikar
Budlos
Murtizabad
Chhalat
Chaprote
Ahmad Abad
Sust
Sarrat
Altit
Karimabad
Chundah
Skardu Hsg
Skardu Airport
Sirmik
Nar
Hussainabad
Misgar
Kirmin
Gole
Kuwardu
Kachoora
Qumrah
Strangdongmo
Sundus
Basho
Thowar
Tormik
Stack
Churka
Shigar
Wazirpur
Dasu
Gulabpur
Tisser
Alchori
Yunu
Chatrooni
Manthoka
Kharmang
Mayurdu
Pari
Katisho
Kamango
Murkun
Mehdiabad
Baghicha
Toltibroq
Ghowari
Bilargo
Tarkati
Tolti
Olding
Fransat
Yogo
Gone
Moral
Doghani
Kuru
Kiris
Ghursay
Machloo
Thaley
Hasanabad
Pharawa
Pion
Surmon
Khaplu(Lsg)
Dumsum
Seeno
Barah Bala
Siksa
Thagus
Brep
Koach
Birzoz
Barg
Shust
Broghab
Dizk
Lasht
Pawar
Zapao
Meragram
Mastuj
Harichin
Chunch
Marting
Chappari
Kargeen
Gosht
Oveer (Charun)
Khubbala
Sarlaspur
Awi
Baleem
Parkosap
Ramon
Astaro
Sano Ghore
Zand Garam
Booni
Booni Gool
Verkop
Mazgul
Trich Payan
Sahrt
Kosht
Nishku
Zait
Surwhoth
Murdar
Shut Khar
Ujnu
Rech
Warkku
Shah Gram
Rain
Mehr
Muzgule
Khot
Rogh
Baram Oveer
Dronga
Kaghuzi
Chitral
Murdan
Garam Chashma
Kari
Kuju
Bagushit
Golean
Mori
Paira Baig
Birzin
Reshun
Para Beg
Shangosh Lotoveer
Overbala
Loan
Mogh
Kesu
Gobor
Barenis
Faiz Abad
Sangor
Arkari
Chamar Ron
Denin
Bakerabad
Ayun
Kalashfi
Khasgram
Jagor
Karimabad
Pareet
Kalas
Madak Lasht
Mada Shel
Taar
Bamborat
Shughur
Mori Lasht
Mustajaban Deh
Drosh
Jing Reet
Saweer
Birga Nisar
Ursoon
Azardam
Broz
Nagar
Ashrait
Sair Door
Bela
Charun
Kalkot
Patrak
Mirkhani
Parwak
Beyar
Dir
Arandu
Thall
Mara Gram
Qualandi
Biar Darangal
Sawni
Darora
Jan Batti
Chukyatan
Barawal Bandi Edso
Usheri Dara
Shiringal Edso
Gandegar
Patan
Sera
Almas
Jagam
Barikot
Sharingal
Ganori
Tarpatar
Wari
Bibyour
Sahibabad Edso
Gamseer
Jelar
College
Danwaa
Haya Serai
Seer
Akhagram
Shekolai
Munjai
Toormang
Doryal
Hajiabad
Khall
Jogabanj
Shin Khyari
Koto
Timergara
Latbook Dara
Rabat
Sado
Kandar Bala
Sher Khane
Sangolai
Akakher
Malakand Dara
Rehanpur
Maidan Bandi
Dara Manial
Khungi
Odi Gram
Bashigram
Zaimdara
Lal Qilla
Gumbat Banda
Manda Banda
Munda
Takor
Gardai
Khazana
Dara Manyali
Seri Payan
Turkhomalan Gai
Nawa Gai
Inayat Killi
Bandagai
Khar Bajaur
Seri Bala
Samar Bagh
Miskinai
Raghagan
Mayar Jandol
Bagh Dushkhel
Barikab
Shul Kandi
Tangi Payeen
Shuntala
Loy Sum
Kambat
Ziarat
Ouch
Shamshi Khan
Kalam
Koti Gram
Tazagram
Aspanr
Shewa
Kithyari
Bahrain
Adam Dheri
Khanpur
Chakdara
Usho
Utror
Chail
Madyan
Shin
Chamgarhi
Mian Adam
Qandil
Matta
Shanguatai
Kalakot
Fatehpur
Rahatkot
Biha
Labat
Barthana
Roringar
Nalkot
Chupriyal
Gat
Baidara
Sakhra
Gurra
Barsherpalam
Bara Drush Khela
Koz Shower
Shower
Nokhara
Sijban
Kabal
Devlai
Sersenai
Dardyal
Shah Dheri
Aligrama
Kalakelley
Shalhand
Caluch
Tootano Bandi
Karora
Alpurai
Banr
Chouga
Shikolai
Kana
Dheri
Ganshal
Saluch
Kotkay
Belay Baba
Bilkani
Martoong
Charbagh
Gulibagh
Kokarai
Damorat
Ahengro Dheri
Chagum
Chamtali
Jambeel
Puran
Chkisar
Kuzpao
Lilonai
Khawaza Khela
Farhatabad
Mingora
Aman Kot
Nawan Kellay
Damorai
Kotanai
Dherai Baba
Aloch
Saidu Sharif G.P.O.
Kanju
Hazara
Ningolai
Bilkani
Koza Bandi
Ganshal
Kana
Mang Lore
Faiz Abad
Puran
Islampur
Chagum
Goli Gram
Martung
Chouga
Shikolai
Belogram
Punjigram
Karora
Manyar
Rahim Abad
Bara Bandi
Barikot
Odi Gram
Chakisar
Tindodog
Kota
Parrai
Tariq Abad
Qamber
Zara Khela
Aboha
Garhi
Ghalegi
Guratai
Dokada
Torwarsak
Pir Baba
Nagrai
Bam Pokha
Ghazi Khani
Kinger Gali
Shall Band
Daggar
Sultan Was
Topi
Sawaraj
Battara
Budal
Ellai
Baj Kata
Kalpani
Dewana Baba
Bagra
Angha Pur
Kurgokand
Sura
Tarinon
Nagri
Nawagai
Kanrohi
Sazine
Koga
Dullan Wala
Shang
Ranolia
Dassu
Seo
Besham
Shakan Abad
Jalkot
Batera
Sholgara
Jijal
Pattan
Nogram
Pashto
Gantar
Rupkani
Bojrai
Ashar Ban
Nili Shang
Nehar
Batila
Muslim Abad
Koyar
Bai Bala
Thakot
Lachi Mong
Koshagram
Changal
Biari Ayub Khan
Matai
Sajbair
Kauh Brachar
Dandai
Kucha
Maira
Hill
Battagram
Dhundara
Kanai
Uttal
Jham Bera
Jesole
Shinggali Bala
Raj Maira
Phogora
Nelli Shang
Bansir
Kakar Shang
Largram
Malkan
Kuza Banda
Paimal Sharif
Thikri Bala
Peeriari
Banian
Baland Kot
Bali Mang
Chapper Gram
Gijbori
Trand
Mano Maira
Chatar Plain
Bando Go
Gidri
Bajmera
Sarkheli Banda
Ahal
Battal
Hil Kot
Jalgali
Chinar Kot
Bai Tarli
Baffa
Malookra
Qazi Abad
Tarrangri Bala
Hajiabad
Kotli Pain
Sabir Shah
Mair Chutar
Mangon Machhi Pole
Shinkar Camp
Mental Hospital
Banda Piran
Guli Bagh
Dhudial
Jabbar
Dadar
Panjool
Banda Gesach
Shinkari
Jabori
Devli
Balakot
Shani Bala
Bedadi
Kaghan
Sachan Kalan
Bhogar Mang
Indrasi
Manda Gocha
Rajwal
Nawaz Abad
Mahandri Bazar
Naran (Seasonal)
Phagal
Bhunja
Sangar
Paras
Manoor
Hangrai
Ochri
Darha
Kawai
Ghanool
Farid Abad
Debrian
Bhungian
Kashian
Jareed
Ghari Habib Ullah
Sugdar
Jaba Sheep Farm
Kot Gali
Dalola
Batora
Dogah
Chakia
Pateka
Talhata
Batrasi Camp
Utter Shisha
Mansehra G.P.O.
Rashang
Chuhan
Mansehra City Npo (Nd)
Khangiri
Dab Bazar (Nd)
Mansehra City Nd
Sadin Meira
Ogra
Bisian
Peshowra
Kalgan
Tanda
Khawari
Bajna
Shohal Najaf Khan
Mohayan Khori
Shohal Mazulla Khan
Kotli Bala
Bedra
Labarkot
Debgran
Chitta Batta
Shehalia
Dharyal
Mair Amjad Ali
Gangwal
Gandhian
Govt College
Ptha
Lassan Thakral
Mangloor
Sum Elahi Mang
Naukot
Tinkiari
Hari Maira
Susal
Morbafa Khurd
Khaki
Bher Kund
Tarha Bala
Timbar Khola
Tatar
Kehinian
Malik Pur
Kotkey
Mari Khan Khel
Morbafa Kalan
Murad Pur
Phulra
Gidar Pur
Choki
Perahena
Timber Katta
Sher Pur
Jhangi
Khawajan
Moorat Maira
Chunial
Thathi Kalan
Matserian
Khaliala
Tehanger
Lassan Nawab
Tarappi
Mohair Khurd
Jhukain
Maira
Jabba
Kathai
Bai
Palsala
Arbora
Khabal Banglow
Chajar
Oghi
Bandi Parao
Dhara
Khamian
Bandi Feroz Khan
Tatali
Qila Gay
Nika Pani
Khabal Pain
Kolaka
Salabat
Maira Kalan
Shamdhera
Tarawra
Belian
Usual Gali
Dilbori
Shergrah
Kherori Pain
Dandi Pain
Malkana
Qalander Abad
Darband
Galibdral
Nellabattla
Behali
Loon Patian
Desal
Sajji Kot
Lunda
Data
Tarnowai
Karer
Tanan
Bandi Dhundan
Narian
Biga Kot
Dobather
Mochi Kot
Banda Phagwarian
Abbottabad Gpo
Mohar Kalan
Azizabad
Pawa
Sando Gali
Sarbhana
Bandi Phullan
Banda Pir Khan
Janglan
Tarhana
Tootni
Salhad
Jhaffar
Mandian
Karhala
Jhangi
Pairan
